year,mother_origin,births
2001,UK-born mothers,59104
2001,Overseas-born mothers,45058
2002,UK-born mothers,57544
2002,Overseas-born mothers,48059
2003,UK-born mothers,58147
2003,Overseas-born mothers,52290
2004,UK-born mothers,57772
2004,Overseas-born mothers,55907
2005,UK-born mothers,56567
2005,Overseas-born mothers,59452
2006,UK-born mothers,57376
2006,Overseas-born mothers,63522
2007,UK-born mothers,57854
2007,Overseas-born mothers,67651
2008,UK-born mothers,57927
2008,Overseas-born mothers,69724
2009,UK-born mothers,57872
2009,Overseas-born mothers,71373
2010,UK-born mothers,58194
2010,Overseas-born mothers,74915
2011,UK-born mothers,57450
2011,Overseas-born mothers,75383
2012,UK-born mothers,57105
2012,Overseas-born mothers,77076
2013,UK-born mothers,54227
2013,Overseas-born mothers,74098
2014,UK-born mothers,53399
2014,Overseas-born mothers,73989
2015,UK-born mothers,54429
2015,Overseas-born mothers,75174
2016,UK-born mothers,53866
2016,Overseas-born mothers,74923
2017,UK-born mothers,53125
2017,Overseas-born mothers,73179
2018,UK-born mothers,51731
2018,Overseas-born mothers,68936
2019,UK-born mothers,50203
2019,Overseas-born mothers,67690
2020,UK-born mothers,47039
2020,Overseas-born mothers,64644
2021,UK-born mothers,47958
2021,Overseas-born mothers,62986
2022,UK-born mothers,44846
2022,Overseas-born mothers,61846
2023,UK-born mothers,42889
2023,Overseas-born mothers,61357
2024,UK-born mothers,42669
2024,Overseas-born mothers,63460
