name,party,member_type,screen_name,n_posts,total_likes,avg_likes,total_comments,total_shares
Bernard Sanders,Independent,sen,senatorsanders,589,15166153,25748.99,1235398,9631617
Elizabeth Warren,Democrat,sen,senatorelizabethwarren,289,7983053,27623.02,1019903,2809033
Al Franken,Democrat,sen,senatoralfranken,199,2257249,11342.96,290269,494143
Joseph P. Kennedy III,Democrat,rep,301936109927957,340,2051253,6033.1,146187,990292
Kamala D. Harris,Democrat,sen,SenatorKamalaHarris,463,1814269,3918.51,232826,435831
Christopher Murphy,Democrat,sen,chrismurphyct,574,1548094,2697.03,142905,644457
Ted Cruz,Republican,sen,SenatorTedCruz,554,1529581,2760.98,250778,309262
John McCain,Republican,sen,johnmccain,324,1163450,3590.9,358859,306712
Rand Paul,Republican,sen,SenatorRandPaul,401,1058428,2639.47,123153,261839
Paul D. Ryan,Republican,rep,speakerryan,432,825161,1910.09,267980,109501
Trey Gowdy,Republican,rep,RepTreyGowdy,45,821456,18254.58,67932,129200
Nancy Pelosi,Democrat,rep,NancyPelosi,549,811981,1479.02,204209,184950
Luis V. Gutiérrez,Democrat,rep,RepGutierrez,559,639258,1143.57,56434,261412
Tim Kaine,Democrat,sen,SenatorKaine,446,586712,1315.5,73851,108469
Jeff Merkley,Democrat,sen,jeffmerkley,439,574406,1308.44,155055,215200
"Robert P. Casey, Jr.",Democrat,sen,SenatorBobCasey,339,527999,1557.52,112639,135789
Michael F. Bennet,Democrat,sen,senbennetco,643,451831,702.69,80497,237533
Dianne Feinstein,Democrat,sen,senatorfeinstein,160,394423,2465.14,120067,71731
Tammy Duckworth,Democrat,sen,SenDuckworth,414,358193,865.2,68924,56667
Adam B. Schiff,Democrat,rep,RepAdamSchiff,336,348307,1036.63,45712,81738
