screen_name,name,party,type
DutchRupp,C. A. Dutch Ruppersberger,Democrat,rep
gregorymeeksny05,Gregory W. Meeks,Democrat,rep
CongresswomanSinema,Kyrsten Sinema,Democrat,rep
CongresswomanLindaSanchez,Linda T. Sánchez,Democrat,rep
Congressman.Keating,William R. Keating,Democrat,rep
bill.posey15,Bill Posey,Republican,rep
RepRohrabacher,Dana Rohrabacher,Republican,rep
RepSensenbrenner,"F. James Sensenbrenner, Jr.",Republican,rep
FrankLoBiondo,Frank A. LoBiondo,Republican,rep
RepJennifferGonzalezColon,Jenniffer González-Colón,Republican,rep
repjustinamash,Justin Amash,Republican,rep
CongressmanKevinMcCarthy,Kevin McCarthy,Republican,rep
reprussell,Steve Russell,Republican,rep
RepSteveWomack,Steve Womack,Republican,rep
congressman-Tom-Garrett-1835767753333490,"Thomas A. Garrett, Jr.",Republican,rep
RepVirginiaFoxx,Virginia Foxx,Republican,rep
